Project_name,URL,stars,Commit Count
meolu/walle-web,https://github.com/meolu/walle-web,11562,1206
Neo23x0/Loki,https://github.com/Neo23x0/Loki,2650,1214
aiortc/aiortc,https://github.com/aiortc/aiortc,3143,1217
crazyguitar/pysheeet,https://github.com/crazyguitar/pysheeet,7473,1223
microsoft/forecasting,https://github.com/microsoft/forecasting,2401,1223
websocket-client/websocket-client,https://github.com/websocket-client/websocket-client,3126,1226
Suor/django-cacheops,https://github.com/Suor/django-cacheops,1707,1228
davidmoreno/onion,https://github.com/davidmoreno/onion,1892,1234
slackapi/python-slack-sdk,https://github.com/slackapi/python-slack-sdk,3499,1235
okbob/pspg,https://github.com/okbob/pspg,1925,1238
sammchardy/python-binance,https://github.com/sammchardy/python-binance,4960,1246
DenisCarriere/geocoder,https://github.com/DenisCarriere/geocoder,1500,1251
ThrowTheSwitch/Unity,https://github.com/ThrowTheSwitch/Unity,2768,1252
IronLanguages/ironpython3,https://github.com/IronLanguages/ironpython3,1942,1254
jazzband/django-oauth-toolkit,https://github.com/jazzband/django-oauth-toolkit,2700,1255
proot-me/proot,https://github.com/proot-me/proot,1450,1269
json-c/json-c,https://github.com/json-c/json-c,2565,1271
kurtmckee/feedparser,https://github.com/kurtmckee/feedparser,1514,1282
alteryx/featuretools,https://github.com/alteryx/featuretools,6406,1283
google/yapf,https://github.com/google/yapf,12938,1285
mars-project/mars,https://github.com/mars-project/mars,2520,1293
python-attrs/attrs,https://github.com/python-attrs/attrs,4535,1314
wechatpy/wechatpy,https://github.com/wechatpy/wechatpy,3263,1319
RoaringBitmap/CRoaring,https://github.com/RoaringBitmap/CRoaring,1098,1322
sustrik/libdill,https://github.com/sustrik/libdill,1619,1332
ourownstory/neural_prophet,https://github.com/ourownstory/neural_prophet,2666,1337
open-quantum-safe/liboqs,https://github.com/open-quantum-safe/liboqs,1067,1341
awslabs/gluonts,https://github.com/awslabs/gluonts,3191,1350
recp/cglm,https://github.com/recp/cglm,1537,1350
networkprotocol/yojimbo,https://github.com/networkprotocol/yojimbo,2194,1354
ninia/jep,https://github.com/ninia/jep,1017,1379
PyCQA/prospector,https://github.com/PyCQA/prospector,1733,1382
keras-team/autokeras,https://github.com/keras-team/autokeras,8668,1384
rawpython/remi,https://github.com/rawpython/remi,3175,1388
arrow-py/arrow,https://github.com/arrow-py/arrow,8146,1396
jtpereyda/boofuzz,https://github.com/jtpereyda/boofuzz,1666,1398
autokey/autokey,https://github.com/autokey/autokey,2515,1405
nanopb/nanopb,https://github.com/nanopb/nanopb,3247,1409
cgdb/cgdb,https://github.com/cgdb/cgdb,1556,1414
schematics/schematics,https://github.com/schematics/schematics,2541,1420
simon-weber/gmusicapi,https://github.com/simon-weber/gmusicapi,2518,1430
PythonOT/POT,https://github.com/PythonOT/POT,1684,1432
clips/pattern,https://github.com/clips/pattern,8352,1434
free-audio/clap,https://github.com/free-audio/clap,1221,1452
pytube/pytube,https://github.com/pytube/pytube,7815,1461
joblib/joblib,https://github.com/joblib/joblib,2982,1463
douban/dpark,https://github.com/douban/dpark,2685,1467
slembcke/Chipmunk2D,https://github.com/slembcke/Chipmunk2D,1857,1468
mvantellingen/python-zeep,https://github.com/mvantellingen/python-zeep,1734,1472
erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,3142,1482
apple/swift-corelibs-libdispatch,https://github.com/apple/swift-corelibs-libdispatch,2264,1495
mahmoud/boltons,https://github.com/mahmoud/boltons,5968,1519
Just-Some-Bots/MusicBot,https://github.com/Just-Some-Bots/MusicBot,2933,1530
Snaipe/Criterion,https://github.com/Snaipe/Criterion,1666,1533
feeluown/FeelUOwn,https://github.com/feeluown/FeelUOwn,3203,1534
rsta2/circle,https://github.com/rsta2/circle,1414,1539
Python-Markdown/markdown,https://github.com/Python-Markdown/markdown,3068,1541
urwid/urwid,https://github.com/urwid/urwid,2511,1558
coturn/coturn,https://github.com/coturn/coturn,8489,1564
psf/black,https://github.com/psf/black,30365,1570
ohler55/oj,https://github.com/ohler55/oj,2932,1572
colmap/colmap,https://github.com/colmap/colmap,4624,1575
dateutil/dateutil,https://github.com/dateutil/dateutil,1946,1575
fabric/fabric,https://github.com/fabric/fabric,13743,1579
jart/cosmopolitan,https://github.com/jart/cosmopolitan,9936,1599
Netflix/dynomite,https://github.com/Netflix/dynomite,4004,1600
riptideio/pymodbus,https://github.com/riptideio/pymodbus,1668,1606
Cyan4973/xxHash,https://github.com/Cyan4973/xxHash,6806,1612
pyecharts/pyecharts,https://github.com/pyecharts/pyecharts,13000,1618
intelowlproject/IntelOwl,https://github.com/intelowlproject/IntelOwl,2466,1620
texworld/tikzplotlib,https://github.com/texworld/tikzplotlib,1975,1621
googleapis/google-api-python-client,https://github.com/googleapis/google-api-python-client,6134,1625
dokan-dev/dokany,https://github.com/dokan-dev/dokany,4506,1626
Jittor/jittor,https://github.com/Jittor/jittor,2644,1630
dry-python/returns,https://github.com/dry-python/returns,2501,1649
twilio/twilio-python,https://github.com/twilio/twilio-python,1629,1655
python-visualization/folium,https://github.com/python-visualization/folium,6003,1672
behave/behave,https://github.com/behave/behave,2732,1681
Stephane-D/SGDK,https://github.com/Stephane-D/SGDK,1305,1716
r0x0r/pywebview,https://github.com/r0x0r/pywebview,3220,1721
SpenceKonde/ATTinyCore,https://github.com/SpenceKonde/ATTinyCore,1278,1732
graphql-python/graphene,https://github.com/graphql-python/graphene,7482,1747
openrazer/openrazer,https://github.com/openrazer/openrazer,2938,1754
